"","'Page number","'Layout","'Text","'Reading Order","'Confidence score % (Layout)","file"
"1","'1","'Header 1","'This article was downloaded by: [""Queen's University Libraries, Kingston""] On: 30 December 2014, At: 05:03 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'87.20703125","04597229108460025/layout.csv"
"2","'1","'Figure 1",NA,"'1","'91.94335938","04597229108460025/layout.csv"
"3","'1","'Title 1","'The Military Balance","'2","'35.25390625","04597229108460025/layout.csv"
"4","'1","'Text 1","'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'3","'33.03222656","04597229108460025/layout.csv"
"5","'1","'Header 2","'Editorial board Published online: 22 Jan 2009.","'4","'35.13183594","04597229108460025/layout.csv"
"6","'1","'Text 2","'To cite this article: (1991) Editorial board, The Military Balance, 91:1, ebi-ebi, DOI: 10.1080/04597229108460025 To link to this article: http://dx.doi.org/10.1080/04597229108460025","'5","'92.96875000","04597229108460025/layout.csv"
"7","'1","'Section header 1","'PLEASE SCROLL DOWN FOR ARTICLE","'6","'84.22851563","04597229108460025/layout.csv"
"8","'1","'Text 3","'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.","'7","'96.97265625","04597229108460025/layout.csv"
"9","'1","'Text 4","'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http: // www.tandfonline.com/page/terms-and-conditions","'8","'93.50585938","04597229108460025/layout.csv"
"10","'2","'Title 2","'THE MILITARY BALANCE 1991-1992","'9","'42.26074219","04597229108460025/layout.csv"
"11","'2","'Text 5","'Published by Brassey's for The International Institute for Strategic Studies 23 Tavistock Street, London WC2E 7NQ","'10","'70.80078125","04597229108460025/layout.csv"
"12","'2","'Text 6","'Director François Heisbourg","'11","'90.96679688","04597229108460025/layout.csv"
