"","'Page number","'Layout","'Text","'Reading Order","'Confidence score % (Layout)","file"
"1","'1","'Header 1","'This article was downloaded by: [University of Toronto Libraries] On: 07 January 2015, At: 18:01 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'81.15234375","04597226108459672/layout.csv"
"2","'1","'Figure 1",NA,"'1","'71.92382813","04597226108459672/layout.csv"
"3","'1","'Title 1","'The Military Balance","'2","'36.74316406","04597226108459672/layout.csv"
"4","'1","'Text 1","'Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'3","'49.12109375","04597226108459672/layout.csv"
"5","'1","'Section header 1","'Foreword","'4","'26.58691406","04597226108459672/layout.csv"
"6","'1","'Text 2","'Published online: 22 Jan 2009.","'5","'36.88964844","04597226108459672/layout.csv"
"7","'1","'Text 3","'To cite this article: (1961) Foreword, The Military Balance, 61:1, 1-1, DOI: 10.1080/04597226108459672 To link to this article: http://dx.doi.org/10.1080/04597226108459672","'6","'93.70117188","04597226108459672/layout.csv"
"8","'1","'Section header 2","'PLEASE SCROLL DOWN FOR ARTICLE","'7","'82.37304688","04597226108459672/layout.csv"
"9","'1","'Text 4","'Taylor & Francis makes every effort to ensure the accuracy of all the information (the ""Content"") contained in the publications on our platform. However, Taylor & Francis, our agents, and our licensors make no representations or warranties whatsoever as to the accuracy, completeness, or suitability for any purpose of the Content. Any opinions and views expressed in this publication are the opinions and views of the authors, and are not the views of or endorsed by Taylor & Francis. The accuracy of the Content should not be relied upon and should be independently verified with primary sources of information. Taylor and Francis shall not be liable for any losses, actions, claims, proceedings, demands, costs, expenses, damages, and other liabilities whatsoever or howsoever caused arising directly or indirectly in connection with, in relation to or arising out of the use of the Content.","'8","'96.67968750","04597226108459672/layout.csv"
"10","'1","'Text 5","'This article may be used for research, teaching, and private study purposes. Any substantial or systematic reproduction, redistribution, reselling, loan, sub-licensing, systematic supply, or distribution in any form to anyone is expressly forbidden. Terms & Conditions of access and use can be found at http:// www.tandfonline.com/page/terms-and-conditions","'9","'94.18945313","04597226108459672/layout.csv"
"11","'2","'Title 2","'FOREWORD","'10","'41.47949219","04597226108459672/layout.csv"
"12","'2","'Text 6","'This is the third annual estimate compiled by the Institute of the nature and size of military forces of the groups of states involved in the Cold War - the Communist bloc (excluding Yugoslavia but including Albania which is still formally a member of the Warsaw Pact) and all those countries with which the United States has mutual defence treaties. The demand for previous editions of this pamphlet has shown that it fills an important gap in public knowledge, and is considered useful as a guide to the strategic balance between the great powers and their allies and of the orders of magnitude involved in the problem of disarmament.","'11","'77.24609375","04597226108459672/layout.csv"
"13","'2","'Text 7","'The Institute assumes full responsibility for the facts and judgments which the pamphlet contains. Since not all the countries have been equally co-operative in producing the relevant information, there are some gaps and some estimated figures.","'12","'63.62304688","04597226108459672/layout.csv"
"14","'2","'Text 8","'This pamphlet examines the military balance as it existed at the end of October 1961 and as it may change during the ensuing year. However, in view of the number of emergency measures taken on both sides during the summer and autumn of 1961 as a result of the Berlin crisis, some of the figures it contains, par- ticularly of manpower, may not remain accurate throughout the whole of the next twelve-month period. No longer range projections of force levels or weapons have been included.","'13","'91.60156250","04597226108459672/layout.csv"
"15","'2","'Text 9","'Manpower strengths given are those of mobilized or regular forces and do not include reserves or militia. Naval strengths are those of active fleets and ships in commission only. The tabular material and the maps at the end should not be regarded as a true guide to the balance of strategic power since they do not reflect important advantages of geography, invulnerability of bases, efficiency, etc., on both sides. They may, however, be found useful in the context of discussions on disarmament.","'14","'95.01953125","04597226108459672/layout.csv"
"16","'2","'Text 10","'November 1961","'15","'89.30664063","04597226108459672/layout.csv"
"17","'2","'Section header 3","'Contents","'16","'64.69726563","04597226108459672/layout.csv"
"18","'2","'Text 11","'PAGE","'17","'58.98437500","04597226108459672/layout.csv"
"19","'2","'Table 1",NA,"'18","'71.24023438","04597226108459672/layout.csv"
"20","'2","'Page number 1","'1","'19","'93.06640625","04597226108459672/layout.csv"
"21","'1","'Header 1","'This article was downloaded by: [Moskow State Univ Bibliote] On: 05 December 2013, At: 20:18 Publisher: Routledge Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK","'0","'87.98828125","04597226108459673/layout.csv"
"22","'1","'Figure 1",NA,"'1","'89.55078125","04597226108459673/layout.csv"
"23","'1","'Text 1","'The Military Balance Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/tmib20","'2","'35.49804688","04597226108459673/layout.csv"
"24","'1","'Title 1","'The Soviet Union Published online: 22 Jan 2009.","'3","'38.76953125","04597226108459673/layout.csv"
"25","'1","'Text 2","'To cite this article: (1961) The Soviet Union, The Military Balance, 61:1, 2-6, DOI: 10.1080/04597226108459673 To link to this article: http://dx.doi.org/10.1080/04597226108459673","'4","'92.23632813","04597226108459673/layout.csv"
"26","'1","'Section header 1","'PLEASE SCROLL DOWN FOR ARTICLE","'5","'81.44531250","04597226108459673/layout.csv"
